doc_idx,ArticleID,group,Readability,Readability_resid,total_bigrams
309,2522,0,6,-1.6316009642003202,20
310,2530,0,6,-1.49844021791899,9
311,2541,0,6,-1.1966577578139042,17
312,2547,0,6,-1.6148955838773897,26
313,2556,0,7,-0.9375029371885946,22
314,2558,0,6,-1.05384378538628,20
315,2563,0,7,-0.8649020145217126,19
316,2567,0,6,-1.1752877156370856,34
317,2568,0,6,-1.511503628525145,35
318,2591,0,5,-2.0002304810558957,27
319,2592,0,6,-1.1377119527744997,25
320,2596,0,6,-1.793558434252298,37
321,2600,0,6,-1.3930194041226631,8
322,2612,0,6,-1.0478269399808182,26
323,2615,0,6,-1.175191945982351,27
324,2616,0,7,-0.91859264365723,21
325,2627,0,6,-1.2456061908684353,40
326,2630,0,4,-3.406929608158803,25
327,2645,0,7,-1.1205641727752145,12
328,2656,0,7,-1.1038935869648085,19
329,2657,0,7,-0.9217702802278849,26
330,2667,0,6,-1.2649514013684593,37
331,2683,0,6,-1.131727006596158,26
332,2695,0,6,-1.6747078320587887,28
333,2707,0,6,-1.3481884972153884,28
334,2708,0,5,-1.7144893768516036,25
335,2710,0,6,-1.6614249742617915,29
336,2712,0,6,-1.3396742795878476,36
337,2718,0,5,-1.8340480823040188,12
338,2722,0,6,-1.2352779665546914,26
339,2728,0,6,-1.3262300950227566,25
340,2736,0,6,-1.4822472375508164,42
341,2740,0,5,-1.599784766581613,28
342,2755,0,6,-1.0135138954226397,32
343,2758,0,7,-0.9233858046547558,26
344,2762,0,6,-1.0760568853943324,27
345,2767,0,6,-1.2273218471350482,16
346,2779,0,6,-1.0587723978039243,31
347,2780,0,6,-0.8951337564014699,20
348,2782,0,6,-1.3304243046916513,25
349,2784,0,6,-1.0524009821151026,37
350,2791,0,6,-1.451404140448611,32
351,2793,0,6,-1.254321730292057,14
352,4689,0,5,-2.7284288593099255,34
353,4697,0,5,-2.8428052620804927,20
354,4702,0,6,-1.1099992829004615,21
355,4709,0,6,-1.8228476645924214,23
356,4714,0,6,-1.2120933707835517,19
357,4717,0,7,-1.1371455901287515,10
358,4722,0,6,-2.0416103735117286,23
359,4725,0,7,-1.1534123351371317,19
360,4736,0,5,-1.9960901572293643,22
361,4737,0,6,-2.00629734528974,16
362,4754,0,6,-1.230901342690939,24
363,4760,0,6,-1.114088146638034,27
364,4775,0,6,-1.4198112889859553,26
365,4793,0,6,-1.229954855414757,20
366,4797,0,6,-0.9833196715528914,25
367,4821,0,6,-1.1731173849324694,30
368,4822,0,6,-1.3058095930935663,30
369,4836,0,6,-0.8773077681948438,40
370,4841,0,6,-0.8417186282200015,48
371,4853,0,6,-1.1431257259187788,16
372,4866,0,6,-0.922884850153757,39
373,4875,0,6,-1.115821854391096,81
374,4881,0,6,-1.5082318129618875,42
375,4882,0,6,-1.1600745544043738,20
376,4890,0,5,-2.4407072113151136,23
377,4901,0,6,-1.1122639149556237,26
378,4902,0,6,-1.2160407973941396,22
379,4914,0,7,-1.1273887052863767,19
380,4920,0,7,-0.9113707839439158,23
381,4926,0,6,-0.9874071246426235,37
382,4933,0,5,-2.7735905072792173,46
383,4940,0,6,-1.2148422672434958,33
384,4942,0,6,-1.6323558525555715,34
385,4944,0,6,-1.3749540963554603,23
386,4947,0,6,-1.757433176338786,41
387,4959,0,5,-2.9466812371904822,29
388,4964,0,7,-1.1536853094285853,20
389,4968,0,6,-1.328714494096742,23
390,4970,0,6,-1.2272528814045183,14
391,4977,0,7,-1.036175979458406,24
392,4987,0,6,-1.2101915898842552,27
393,4989,0,7,-0.8562012258713079,22
394,4998,0,7,-0.9551640635887688,26
395,4999,0,6,-1.5398060584908473,22
396,5008,0,6,-1.329801133169111,20
397,5012,0,6,-1.3972877865746955,21
398,5015,0,6,-1.2027111424140937,18
399,5018,0,7,-1.1267066148173726,27
400,5024,0,6,-1.4327633586034114,24
401,5029,0,6,-1.7172894861321613,24
402,5039,0,6,-1.8408924228242203,18
403,5042,0,7,-1.0794789078829776,26
404,5058,0,5,-2.8826059243917577,25
405,5059,0,6,-1.3749057198860966,27
406,5060,0,7,-0.9420983466920108,19
