phrase_idx,phrase,n_docs,total_count,zeta,direction
4777,bargaining_solution,9,17,-4.94734862852695,low_read
6700,hypothesis_testing,9,13,-4.94734862852612,low_read
6705,implementable_in,8,13,-4.94732642427194,low_read
9546,theorems_are,10,10,-4.94732642427125,low_read
8357,path_is,10,11,-4.94732642427119,low_read
9313,payoff_vector,10,10,-4.94732642427111,low_read
8416,real_balances,9,11,-4.94732642427111,low_read
8894,correlated_equilibrium,7,10,-4.94732642427111,low_read
9000,for_games,10,10,-4.94732642427103,low_read
9422,series_are,6,10,-4.94732642427097,low_read
8884,contingent_claims,8,10,-4.94723788952975,low_read
9197,monetary_base,6,10,-4.94723738353678,low_read
7667,strategy_profile,6,12,-4.94723738353677,low_read
8659,walras'_law,7,11,-4.94723738353661,low_read
8064,estimation_procedures,10,11,-4.9470850814365,low_read
7361,game_of,11,12,-4.94708508143649,low_read
8847,cent_of,5,10,-4.94676553375405,low_read
8307,of_quasi,10,11,-4.94597520593176,low_read
9025,functions_as,10,10,-4.94597520593167,low_read
8977,expenditure_system,6,10,-4.94590253698307,low_read
5433,the_futures,7,16,-4.94590253698304,low_read
8158,identifiability_of,10,11,-4.94590253698291,low_read
7459,liquidity_preference,8,12,-4.9459025369829,low_read
8788,autoregressive_process,8,10,-4.94590253698286,low_read
9211,noncooperative_game,8,10,-4.94590253698284,low_read
9530,the_residuals,9,10,-4.94590253698282,low_read
9347,price_path,7,10,-4.94590253698281,low_read
8647,variables_estimator,9,11,-4.94590253698281,low_read
9166,linear_restrictions,7,10,-4.94590253698278,low_read
7386,if_is,9,12,-4.94590253698273,low_read
8387,private_good,9,11,-4.94590253698265,low_read
8023,decreasing_absolute,9,11,-4.94590253698264,low_read
9291,optimal_growth,10,10,-4.94590253698261,low_read
7037,the_shapley,10,13,-4.94590253698229,low_read
6553,average_treatment,7,13,-4.94590253698179,low_read
6637,effective_protection,5,13,-4.94557036419886,low_read
8050,empirical_likelihood,6,11,-4.94509062534822,low_read
7664,strategies_and,9,12,-4.94509062534812,low_read
7644,shapley_value,9,12,-4.94466011699991,low_read
9161,let_be,7,10,-4.94465676077881,low_read
7657,specification_test,7,12,-4.9443243407491,low_read
8241,mean_variance,9,11,-4.94432434074893,low_read
9217,observable_variables,6,10,-4.94432434074886,low_read
9290,optimal_control,8,10,-4.94432434074884,low_read
9127,intermediate_good,7,10,-4.94432434074883,low_read
7864,allocation_rule,6,11,-4.9440222399372,low_read
8866,conditional_mean,6,10,-4.94330810047266,low_read
7830,wealth_effect,6,12,-4.94302766337091,low_read
9122,information_sets,5,10,-4.94302616443314,low_read
8008,core_is,10,11,-4.94302616443312,low_read
8432,resource_stock,5,11,-4.94231841267661,low_read
8857,class_estimators,6,10,-4.94231841267627,low_read
8842,capital_movements,5,10,-4.94231582056418,low_read
8892,core_allocations,7,10,-4.94231582056417,low_read
8547,the_liml,6,11,-4.94231582056413,low_read
8952,equilibrium_paths,7,10,-4.94231427665264,low_read
6918,quadratic_programming,6,13,-4.94228579618792,low_read
9339,preference_reversal,5,10,-4.93972559582238,low_read
1959,field_experiment,35,36,3.84784150631959,high_read
2050,percent_in,25,35,3.82356345213943,high_read
711,percentage_points,63,76,3.54500221840957,high_read
3157,unique_data,25,25,3.53217749061925,high_read
3053,experiment_in,24,25,3.53217567911708,high_read
